Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2022,"Matt Bush","2 Tms",5.1,21,10.12500001,3.375,3,1.6875,0.28571429,0.0952381,0.19047619,0.21052632,1.125,0.25,0.65217391,4.424931001663208,3.3752773180384126,1246
2022,"Zack Greinke","KCR",137,585,4.79562044,1.77372263,2.7037037,0.91970803,0.12478632,0.04615385,0.07863247,0.2859745,1.34306569,0.30555556,0.72879331,4.032139031663208,4.540626612414409,1943
2022,"Clayton Kershaw","LAD",126.1,493,9.75989446,1.63852243,5.95652174,0.71240106,0.27789047,0.04665314,0.23123733,0.20645161,0.94195251,0.26791277,0.79439252,2.5662568616632084,2.826209110643112,2036
2022,"Adam Wainwright","STL",191.2,803,6.71478261,2.53565217,2.64814815,0.75130435,0.17808219,0.06724782,0.11083437,0.26086957,1.28347826,0.30188679,0.75021683,3.660257091663208,4.096601989018905,2233
2022,"Corey Kluber","TBR",164,689,7.62804878,1.15243902,6.61904762,1.09756098,0.20174165,0.03047896,0.17126269,0.27384615,1.21341463,0.31663327,0.70165746,3.5697480716632084,3.9160837604868703,2429
2022,"Lance Lynn","CHW",121.2,512,9.17260274,1.40547945,6.52631579,1.40547945,0.2421875,0.03710938,0.20507812,0.24740125,1.13424658,0.29411765,0.68369028,3.819280321663208,3.443912417585619,2520
2022,"Max Scherzer","NYM",145.1,565,10.71330275,1.48623853,7.20833333,0.80504587,0.30619469,0.04247788,0.26371681,0.20650096,0.90825688,0.27616279,0.83333333,2.617018161663208,3.22654299447831,3137
2022,"Anibal Sanchez","WSN",69.1,292,6.23076923,4.28365385,1.45454545,1.6875,0.16438356,0.1130137,0.05136986,0.2173913,1.26923077,0.21649485,0.78590786,5.766277151663209,5.271761998308472,3284
2022,"Charlie Morton","ATL",172,728,10.72674419,3.29651163,3.25396825,1.46511628,0.28159341,0.08653846,0.19505495,0.2328125,1.23255814,0.29227053,0.75995807,4.257779841663208,3.6046565753429434,4676
2022,"Rich Hill","BOS",124.1,526,7.89008043,2.67828418,2.94594595,1.08579088,0.20722433,0.07034221,0.13688212,0.25826446,1.30294906,0.30470914,0.68275862,3.9167205416632083,4.122417928149721,4806
2022,"Michael Pineda","DET",46.2,200,5.01428571,1.54285714,3.25,2.50714286,0.13,0.04,0.09,0.30366492,1.41428571,0.29411765,0.73221757,6.1338595716632085,4.796429510507188,5372
