Season,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
2022,"LAA",5977,1.02937337,0.19351492,0.40907912,0.39740597,0.09334204,0.12402089,0.06467977,0.29487179,0.39079583,0.36282736,0.24637681,0.15611492,0.55326723,0.29061785
2022,"BAL",6049,0.95520581,0.20187793,0.38991846,0.40820361,0.12711864,0.1035109,0.06970849,0.34042553,0.41377626,0.34709331,0.23913043,0.17586712,0.51978505,0.30434783
2022,"BOS",6144,1.21852099,0.20752023,0.43526892,0.35721085,0.09860093,0.10326449,0.06232914,0.23076923,0.37038789,0.37677389,0.25283822,0.15208136,0.53547777,0.31244087
2022,"CHW",6123,1.28238342,0.19211371,0.45392022,0.35396607,0.10168394,0.09650259,0.06363636,0.19354839,0.38424767,0.35374459,0.26200774,0.1579786,0.54017756,0.30184384
2022,"CLE",6163,1.23845194,0.19704433,0.44424541,0.35871026,0.11173533,0.07927591,0.0796371,0.31818182,0.38492239,0.35521064,0.25986696,0.18093126,0.55609756,0.26297118
2022,"DET",5870,1.26633523,0.2006513,0.44664329,0.35270541,0.09730114,0.078125,0.06449804,0.33333333,0.39711371,0.34038318,0.26250311,0.17143568,0.56755412,0.2610102
2022,"KCR",6010,1.07960199,0.1957672,0.41750842,0.38672439,0.08955224,0.0858209,0.06797235,0.30909091,0.40208877,0.35105625,0.24685497,0.154047,0.53857109,0.30738191
2022,"MIN",6113,1.11410256,0.2075925,0.4175877,0.3748198,0.08846154,0.11410256,0.06616801,0.17647059,0.41899976,0.33548696,0.24551328,0.14429289,0.52524527,0.33046183
2022,"NYY",6172,1.03279703,0.18988903,0.41159063,0.39852035,0.10086634,0.15717822,0.06710605,0.22580645,0.41409692,0.34116495,0.24473813,0.15859031,0.52741067,0.31399902
2022,"OAK",5863,1.24366197,0.18848701,0.4498217,0.36169129,0.11056338,0.09647887,0.04756512,0.2962963,0.40904523,0.34648241,0.24447236,0.16457286,0.55829146,0.27713568
