Date,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
"2022-04-07","MIL",8,35,0.66666667,0.13043478,0.34782609,0.52173913,0.08333333,0.08333333,0,0,0.39130435,0.43478261,0.17391304,0.13043478,0.47826087,0.39130435
"2022-04-07","STL",9,32,2.4,0.19047619,0.57142857,0.23809524,0,0,0.08333333,0,0.23809524,0.47619048,0.28571429,0.19047619,0.66666667,0.14285714
"2022-04-07","ARI",9,36,0.9,0.20833333,0.375,0.41666667,0.2,0,0,0,0.5,0.25,0.25,0.16666667,0.625,0.20833333
"2022-04-07","CLE",8,31,0.38461538,0.14285714,0.23809524,0.61904762,0.15384615,0,0.2,0,0.39130435,0.2173913,0.39130435,0.26086957,0.47826087,0.26086957
"2022-04-07","LAA",9,38,0.9,0.20833333,0.375,0.41666667,0,0.2,0,0,0.56,0.28,0.16,0.12,0.44,0.44
"2022-04-07","WSN",9,42,2.4,0.32,0.48,0.2,0,0,0,1,0.38461538,0.34615385,0.26923077,0.19230769,0.65384615,0.15384615
"2022-04-07","ATL",9,38,1,0.30434783,0.34782609,0.34782609,0.375,0.125,0,0,0.43478261,0.30434783,0.26086957,0.30434783,0.34782609,0.34782609
"2022-04-07","SDP",8,34,0.9,0.05,0.45,0.5,0,0.1,0,0,0.4,0.3,0.3,0.05,0.7,0.25
"2022-04-07","KCR",9,37,1,0.21428571,0.39285714,0.39285714,0.27272727,0,0,0,0.25,0.42857143,0.32142857,0.28571429,0.5,0.21428571
"2022-04-07","PIT",8,41,1,0.21428571,0.39285714,0.39285714,0.09090909,0.27272727,0.18181818,0,0.57142857,0.21428571,0.21428571,0.25,0.39285714,0.35714286
"2022-04-07","HOU",9,31,3.25,0.22727273,0.59090909,0.18181818,0.25,0,0.07692308,0,0.45454545,0.45454545,0.09090909,0.22727273,0.54545455,0.22727273
"2022-04-07","CHC",9,40,1.22222222,0.23076923,0.42307692,0.34615385,0.11111111,0,0,0,0.42307692,0.30769231,0.26923077,0.15384615,0.65384615,0.19230769
"2022-04-07","NYM",9,35,1.375,0.13636364,0.5,0.36363636,0.125,0.125,0.18181818,0,0.43478261,0.34782609,0.2173913,0.17391304,0.60869565,0.2173913
"2022-04-07","CIN",9,36,1.28571429,0.11111111,0.5,0.38888889,0,0.14285714,0.11111111,0,0.61111111,0.27777778,0.11111111,0.05555556,0.5,0.44444444
